transaction id,timestamp,transaction type,merchant_category,amount (INR),transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend
TXN0000000,2024-01-01 00:18:46,BILL_PAYMENT,Retail,438.65,SUCCESS,26-35,18-25,Karnataka,ICICI Bank,PNB,iOS,4G,0,0,Monday,0
TXN0000001,2024-01-01 00:54:19,RECHARGE,Healthcare,6734.7,SUCCESS,56+,56+,Madhya Pradesh,PNB,SBI,Android,4G,0,0,Monday,0
TXN0000002,2024-01-01 01:14:20,RECHARGE,Food,480644.47,SUCCESS,56+,46-55,Bihar,Bank of Baroda,Bank of Baroda,Android,4G,1,1,Monday,0
TXN0000003,2024-01-01 01:51:34,P2M,Education,625.0,SUCCESS,36-45,26-35,Gujarat,IndusInd Bank,Bank of Baroda,Android,4G,0,1,Monday,0
TXN0000004,2024-01-01 02:18:50,P2P,Food,3487.17,SUCCESS,46-55,26-35,Telangana,IndusInd Bank,IndusInd Bank,iOS,4G,0,2,Monday,0
TXN0000005,2024-01-01 02:48:15,MERCHANT,Food,5421.45,SUCCESS,56+,36-45,Jharkhand,HDFC Bank,Bank of Baroda,Android,4G,0,2,Monday,0
TXN0000006,2024-01-01 03:28:44,MERCHANT,Retail,1776.93,SUCCESS,26-35,36-45,Madhya Pradesh,Bank of Baroda,SBI,Android,5G,0,3,Monday,0
TXN0000007,2024-01-01 03:47:24,P2P,Food,1930.34,SUCCESS,26-35,46-55,Madhya Pradesh,SBI,Axis Bank,iOS,4G,0,3,Monday,0
TXN0000008,2024-01-01 04:27:18,P2P,Entertainment,4242.32,SUCCESS,36-45,18-25,Jharkhand,SBI,SBI,Android,5G,0,4,Monday,0
TXN0000009,2024-01-01 04:32:01,P2P,,725.57,SUCCESS,36-45,46-55,Madhya Pradesh,Union Bank,Canara Bank,Android,4G,0,4,Monday,0
TXN0000010,2024-01-01 05:07:46,P2P,Utilities,42.59,FAILED,56+,18-25,Gujarat,IndusInd Bank,HDFC Bank,Android,WiFi,0,5,Monday,0
TXN0000011,2024-01-01 05:50:38,BILL_PAYMENT,Healthcare,1747.09,SUCCESS,36-45,46-55,Andhra Pradesh,Union Bank,Union Bank,Android,4G,0,5,Monday,0
TXN0000012,2024-01-01 06:05:30,P2M,Electronics,1906.07,SUCCESS,56+,36-45,Karnataka,ICICI Bank,Kotak Bank,Android,4G,0,6,Monday,0
TXN0000013,2024-01-01 06:54:42,P2M,Food,5193.95,SUCCESS,56+,56+,West Bengal,Union Bank,Bank of Baroda,iOS,4G,0,6,Monday,0
TXN0000014,2024-01-01 07:01:27,BILL_PAYMENT,Travel,589.47,SUCCESS,56+,26-35,Uttar Pradesh,ICICI Bank,ICICI Bank,iOS,4G,0,7,Monday,0
TXN0000015,2024-01-01 07:53:16,P2P,Entertainment,728.36,SUCCESS,56+,18-25,Telangana,Bank of Baroda,Canara Bank,iOS,4G,0,7,Monday,0
TXN0000016,2024-01-01 08:18:43,BILL_PAYMENT,Food,2784.46,SUCCESS,56+,46-55,Uttar Pradesh,PNB,PNB,iOS,5G,0,8,Monday,0
TXN0000017,2024-01-01 08:44:31,P2P,Travel,839.16,SUCCESS,46-55,36-45,Delhi,IndusInd Bank,Kotak Bank,iOS,5G,0,8,Monday,0
TXN0000018,2024-01-01 09:28:07,BILL_PAYMENT,Electronics,2091.75,SUCCESS,36-45,26-35,Haryana,Axis Bank,Union Bank,Android,WiFi,0,9,Monday,0
TXN0000019,2024-01-01 09:32:10,BILL_PAYMENT,Groceries,355811.08,SUCCESS,46-55,36-45,Bihar,Canara Bank,Bank of Baroda,Android,5G,1,9,Monday,0
