transaction_id,timestamp,transaction_type,merchant_category,amount_inr,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend,tx_count,avg_amt,std_amt,uniq_rec,high_amount_flag,hourly_tx_count,GRS,VA,transaction_type_enc,merchant_category_enc,sender_bank_enc,receiver_bank_enc,network_type_enc,device_type_enc,sender_state_enc,BRS,SNS,SAS,DARS,dars_flag
TXN0000000,2024-01-01 00:18:46,BILL_PAYMENT,Retail,438.65,SUCCESS,26-35,18-25,Karnataka,ICICI Bank,PNB,iOS,4G,0,0,Monday,0,96,2316.719375,2201.5743939753715,10,0,4,10.0,0.0,0,6,4,7,0,1,6,17.836508133844163,0.0,29.02168,7.134603,0
TXN0000001,2024-01-01 00:54:19,RECHARGE,Healthcare,6734.7,SUCCESS,56+,56+,Madhya Pradesh,PNB,SBI,Android,4G,0,0,Monday,0,111,31760.069369369372,94918.80067039955,10,0,11,10.0,0.999999997142857,4,5,7,8,0,0,7,48.19628544480427,0.0,33.786125,29.278515,0
TXN0000002,2024-01-01 01:14:20,RECHARGE,Food,480644.47,SUCCESS,56+,46-55,Bihar,Bank of Baroda,Bank of Baroda,Android,4G,1,1,Monday,0,105,12854.431714285714,65348.16978097511,10,1,4,60.0,0.999999997142857,4,3,1,1,0,0,1,75.80186965455435,0.0,95.15171,55.320747,0
TXN0000003,2024-01-01 01:51:34,P2M,Education,625.0,SUCCESS,36-45,26-35,Gujarat,IndusInd Bank,Bank of Baroda,Android,4G,0,1,Monday,0,89,1839.8615730337078,1544.0160231540951,10,0,2,10.0,0.28571428489795925,2,0,5,1,0,0,3,25.934738954067313,0.0,29.02168,13.231038,0
TXN0000004,2024-01-01 02:18:50,P2P,Food,3487.17,SUCCESS,46-55,26-35,Telangana,IndusInd Bank,IndusInd Bank,iOS,4G,0,2,Monday,0,93,24524.079677419355,92416.87498544584,10,0,7,10.0,0.42857142734693876,3,3,5,5,0,1,12,34.43197463950764,0.0,29.02168,18.058504,0
TXN0000005,2024-01-01 02:48:15,MERCHANT,Food,5421.45,SUCCESS,56+,36-45,Jharkhand,HDFC Bank,Bank of Baroda,Android,4G,0,2,Monday,0,103,21961.40844660194,69409.07717585293,10,0,5,60.0,0.999999997142857,1,3,3,1,0,0,5,22.364036242746465,0.0,29.02168,33.945614,0
TXN0000006,2024-01-01 03:28:44,MERCHANT,Retail,1776.93,SUCCESS,26-35,36-45,Madhya Pradesh,Bank of Baroda,SBI,Android,5G,0,3,Monday,0,101,2602.231683168317,2301.5175690904766,10,0,3,10.0,0.14285714244897954,1,6,1,8,1,0,7,17.581851293560376,0.0,29.02168,8.461312,0
TXN0000007,2024-01-01 03:47:24,P2P,Food,1930.34,SUCCESS,26-35,46-55,Madhya Pradesh,SBI,Axis Bank,iOS,4G,0,3,Monday,0,91,2906.614945054945,2916.7170698583454,10,0,4,10.0,0.0,3,3,8,0,0,1,7,22.47532982292627,0.0,29.02168,8.990132,0
TXN0000008,2024-01-01 04:27:18,P2P,Entertainment,4242.32,SUCCESS,36-45,18-25,Jharkhand,SBI,SBI,Android,5G,0,4,Monday,0,87,2333.924367816092,2409.9838100477627,10,0,4,60.0,0.28571428489795925,3,2,8,8,1,0,5,16.449310675726835,0.0,29.02168,24.436867,0
TXN0000009,2024-01-01 04:32:01,P2P,,725.57,SUCCESS,36-45,46-55,Madhya Pradesh,Union Bank,Canara Bank,Android,4G,0,4,Monday,0,104,2262.526923076923,1904.9170495927835,10,0,4,10.0,0.28571428489795925,3,8,9,2,0,0,7,8.965919316593926,0.0,29.02168,6.4435105,0
TXN0000010,2024-01-01 05:07:46,P2P,Utilities,42.59,FAILED,56+,18-25,Gujarat,IndusInd Bank,HDFC Bank,Android,WiFi,0,5,Monday,0,95,23588.880315789473,84990.00197406899,10,0,2,10.0,0.999999997142857,3,9,5,3,2,0,3,44.18508788297066,0.0,29.02168,27.674036,0
TXN0000011,2024-01-01 05:50:38,BILL_PAYMENT,Healthcare,1747.09,SUCCESS,36-45,46-55,Andhra Pradesh,Union Bank,Union Bank,Android,4G,0,5,Monday,0,104,2262.526923076923,1904.9170495927835,10,0,6,10.0,0.28571428489795925,0,5,9,9,0,0,0,20.527354479054296,0.0,29.02168,11.068085,0
TXN0000012,2024-01-01 06:05:30,P2M,Electronics,1906.07,SUCCESS,56+,36-45,Karnataka,ICICI Bank,Kotak Bank,Android,4G,0,6,Monday,0,121,22046.21520661157,78212.59007336404,10,0,6,10.0,0.999999997142857,2,1,4,6,0,0,6,26.956791108794988,0.0,29.02168,20.782717,0
TXN0000013,2024-01-01 06:54:42,P2M,Food,5193.95,SUCCESS,56+,56+,West Bengal,Union Bank,Bank of Baroda,iOS,4G,0,6,Monday,0,116,15491.21025862069,57873.416172974714,10,0,8,60.0,0.8571428546938777,2,3,9,1,0,1,14,48.70372653521496,0.0,29.02168,43.052917,0
TXN0000014,2024-01-01 07:01:27,BILL_PAYMENT,Travel,589.47,SUCCESS,56+,26-35,Uttar Pradesh,ICICI Bank,ICICI Bank,iOS,4G,0,7,Monday,0,121,22046.21520661157,78212.59007336404,10,0,5,60.0,0.8571428546938777,0,7,4,4,0,1,13,31.399167764279824,0.0,29.02168,36.131096,0
TXN0000015,2024-01-01 07:53:16,P2P,Entertainment,728.36,SUCCESS,56+,18-25,Telangana,Bank of Baroda,Canara Bank,iOS,4G,0,7,Monday,0,105,12854.431714285714,65348.16978097511,10,0,5,10.0,0.8571428546938777,3,2,1,2,0,1,12,28.981671983424903,0.0,29.02168,20.164097,0
TXN0000016,2024-01-01 08:18:43,BILL_PAYMENT,Food,2784.46,SUCCESS,56+,46-55,Uttar Pradesh,PNB,PNB,iOS,5G,0,8,Monday,0,111,31760.069369369372,94918.80067039955,10,0,3,60.0,0.8571428546938777,0,3,7,7,1,1,13,46.79499608159012,0.0,33.786125,42.28943,0
TXN0000017,2024-01-01 08:44:31,P2P,Travel,839.16,SUCCESS,46-55,36-45,Delhi,IndusInd Bank,Kotak Bank,iOS,5G,0,8,Monday,0,93,24524.079677419355,92416.87498544584,10,0,8,10.0,0.42857142734693876,3,7,5,6,1,1,2,36.84927353306169,0.0,29.02168,19.025423,0
TXN0000018,2024-01-01 09:28:07,BILL_PAYMENT,Electronics,2091.75,SUCCESS,36-45,26-35,Haryana,Axis Bank,Union Bank,Android,WiFi,0,9,Monday,0,100,2560.3928,3096.5585905836383,10,0,7,60.0,0.28571428489795925,0,1,0,9,2,0,4,44.927698323704284,0.0,29.02168,35.82822,0
TXN0000019,2024-01-01 09:32:10,BILL_PAYMENT,Groceries,355811.08,SUCCESS,46-55,36-45,Bihar,Canara Bank,Bank of Baroda,Android,5G,1,9,Monday,0,95,28207.371263157896,89965.91586721274,10,1,6,60.0,0.5714285697959183,0,4,2,1,1,0,1,83.06891540264994,0.0,95.15171,53.941853,0
TXN0000020,2024-01-01 10:28:05,BILL_PAYMENT,Entertainment,2332.5,SUCCESS,26-35,36-45,Jharkhand,SBI,SBI,Android,4G,0,10,Monday,0,91,2906.614945054945,2916.7170698583454,10,0,5,60.0,0.14285714244897954,0,2,8,8,0,0,5,17.240638903783406,0.0,29.02168,23.324827,0
TXN0000021,2024-01-01 10:52:12,RECHARGE,Electronics,415689.08,SUCCESS,56+,18-25,Uttar Pradesh,Bank of Baroda,Kotak Bank,iOS,4G,1,10,Monday,0,105,12854.431714285714,65348.16978097511,10,1,5,60.0,0.8571428546938777,4,1,1,6,0,1,13,76.96272575020568,0.0,95.15171,54.356518,0
TXN0000022,2024-01-01 11:12:49,P2M,Education,2652.63,SUCCESS,56+,36-45,Bihar,ICICI Bank,Canara Bank,iOS,4G,0,11,Monday,0,121,22046.21520661157,78212.59007336404,10,0,5,60.0,0.8571428546938777,2,0,4,2,0,1,1,36.46013595542399,0.0,29.02168,38.155483,0
